 Date,Time (ET), Away Team, Home Team
 Mon Dec 12,8:15 PM, New England Patriots, Arizona Cardinals
 Mon Dec 19,8:15 PM, Los Angeles Rams, Green Bay Packers
 Mon Dec 26,8:15 PM, Los Angeles Chargers, Indianapolis Colts
 Mon Dec 5,8:15 PM, New Orleans Saints, Tampa Bay Buccaneers
 Mon Jan 2,8:30 PM, Buffalo Bills, Cincinnati Bengals
 Mon Nov 14,8:15 PM, Washington Commanders, Philadelphia Eagles
 Mon Nov 21,8:00 PM, San Francisco 49ers, Arizona Cardinals
 Mon Nov 28,8:15 PM, Pittsburgh Steelers, Indianapolis Colts
 Mon Nov 7,8:15 PM, Baltimore Ravens, New Orleans Saints
 Mon Oct 10,8:15 PM, Las Vegas Raiders, Kansas City Chiefs
 Mon Oct 17,8:15 PM, Denver Broncos, Los Angeles Chargers
 Mon Oct 24,8:15 PM, Chicago Bears, New England Patriots
 Mon Oct 3,8:15 PM, Los Angeles Rams, San Francisco 49ers
 Mon Oct 31,8:15 PM, Cincinnati Bengals, Cleveland Browns
 Mon Sep 12,8:15 PM, Denver Broncos, Seattle Seahawks
 Mon Sep 19,7:15 PM, Tennessee Titans, Buffalo Bills
 Mon Sep 26,8:15 PM, Dallas Cowboys, New York Giants
 Sat Dec 24,1:00 PM, Atlanta Falcons, Baltimore Ravens
 Sat Dec 24,1:00 PM, Buffalo Bills, Chicago Bears *
 Sat Dec 24,1:00 PM, Cincinnati Bengals, New England Patriots
 Sat Dec 24,1:00 PM, Detroit Lions, Carolina Panthers
 Sat Dec 24,1:00 PM, Houston Texans, Tennessee Titans *
 Sat Dec 24,1:00 PM, New Orleans Saints, Cleveland Browns *
 Sat Dec 24,1:00 PM, New York Giants, Minnesota Vikings *
 Sat Dec 24,1:00 PM, Seattle Seahawks, Kansas City Chiefs *
 Sat Dec 24,4:05 PM, Washington Commanders, San Francisco 49ers
 Sat Dec 24,4:25 PM, Philadelphia Eagles, Dallas Cowboys
 Sat Dec 24,8:15 PM, Las Vegas Raiders, Pittsburgh Steelers
 Sun Dec 11,1:00 PM, Baltimore Ravens, Pittsburgh Steelers
 Sun Dec 11,1:00 PM, Cleveland Browns, Cincinnati Bengals
 Sun Dec 11,1:00 PM, Houston Texans, Dallas Cowboys
 Sun Dec 11,1:00 PM, Jacksonville Jaguars, Tennessee Titans
 Sun Dec 11,1:00 PM, Minnesota Vikings, Detroit Lions
 Sun Dec 11,1:00 PM, New York Jets, Buffalo Bills
 Sun Dec 11,1:00 PM, Philadelphia Eagles, New York Giants
 Sun Dec 11,4:05 PM, Kansas City Chiefs, Denver Broncos
 Sun Dec 11,4:25 PM, Carolina Panthers, Seattle Seahawks
 Sun Dec 11,4:25 PM, Tampa Bay Buccaneers, San Francisco 49ers
 Sun Dec 11,8:20 PM, Miami Dolphins, Los Angeles Chargers
 Sun Dec 18,1:00 PM, Atlanta Falcons, New Orleans Saints *
 Sun Dec 18,1:00 PM, Baltimore Ravens, Cleveland Browns *
 Sun Dec 18,1:00 PM, Dallas Cowboys, Jacksonville Jaguars
 Sun Dec 18,1:00 PM, Detroit Lions, New York Jets
 Sun Dec 18,1:00 PM, Indianapolis Colts, Minnesota Vikings *
 Sun Dec 18,1:00 PM, Kansas City Chiefs, Houston Texans
 Sun Dec 18,1:00 PM, Miami Dolphins, Buffalo Bills *
 Sun Dec 18,1:00 PM, New York Giants, Washington Commanders *
 Sun Dec 18,1:00 PM, Philadelphia Eagles, Chicago Bears
 Sun Dec 18,1:00 PM, Pittsburgh Steelers, Carolina Panthers
 Sun Dec 18,4:05 PM, Arizona Cardinals, Denver Broncos
 Sun Dec 18,4:25 PM, Cincinnati Bengals, Tampa Bay Buccaneers
 Sun Dec 18,4:25 PM, Tennessee Titans, Los Angeles Chargers
 Sun Dec 18,8:20 PM, New England Patriots, Las Vegas Raiders
 Sun Dec 25,1:00 PM, Green Bay Packers, Miami Dolphins
 Sun Dec 25,4:30 PM, Denver Broncos, Los Angeles Rams
 Sun Dec 25,8:20 PM, Tampa Bay Buccaneers, Arizona Cardinals
 Sun Dec 4,1:00 PM, Cleveland Browns, Houston Texans
 Sun Dec 4,1:00 PM, Denver Broncos, Baltimore Ravens
 Sun Dec 4,1:00 PM, Green Bay Packers, Chicago Bears
 Sun Dec 4,1:00 PM, Jacksonville Jaguars, Detroit Lions
 Sun Dec 4,1:00 PM, New York Jets, Minnesota Vikings
 Sun Dec 4,1:00 PM, Pittsburgh Steelers, Atlanta Falcons
 Sun Dec 4,1:00 PM, Tennessee Titans, Philadelphia Eagles
 Sun Dec 4,1:00 PM, Washington Commanders, New York Giants
 Sun Dec 4,4:05 PM, Miami Dolphins, San Francisco 49ers
 Sun Dec 4,4:05 PM, Seattle Seahawks, Los Angeles Rams
 Sun Dec 4,4:25 PM, Kansas City Chiefs, Cincinnati Bengals
 Sun Dec 4,4:25 PM, Los Angeles Chargers, Las Vegas Raiders
 Sun Dec 4,8:20 PM, Indianapolis Colts, Dallas Cowboys
 Sun Jan 1,1:00 PM, Arizona Cardinals, Atlanta Falcons
 Sun Jan 1,1:00 PM, Carolina Panthers, Tampa Bay Buccaneers
 Sun Jan 1,1:00 PM, Chicago Bears, Detroit Lions
 Sun Jan 1,1:00 PM, Cleveland Browns, Washington Commanders
 Sun Jan 1,1:00 PM, Denver Broncos, Kansas City Chiefs
 Sun Jan 1,1:00 PM, Indianapolis Colts, New York Giants
 Sun Jan 1,1:00 PM, Jacksonville Jaguars, Houston Texans
 Sun Jan 1,1:00 PM, Miami Dolphins, New England Patriots
 Sun Jan 1,1:00 PM, New Orleans Saints, Philadelphia Eagles
 Sun Jan 1,1:00 PM, Pittsburgh Steelers, Baltimore Ravens
 Sun Jan 1,4:05 PM, New York Jets, Seattle Seahawks
 Sun Jan 1,4:05 PM, San Francisco 49ers, Las Vegas Raiders
 Sun Jan 1,4:25 PM, Minnesota Vikings, Green Bay Packers
 Sun Jan 1,8:20 PM, Los Angeles Rams, Los Angeles Chargers
 Sun Jan 8,1:00 PM, Arizona Cardinals, San Francisco 49ers
 Sun Jan 8,1:00 PM, Baltimore Ravens, Cincinnati Bengals
 Sun Jan 8,1:00 PM, Carolina Panthers, New Orleans Saints
 Sun Jan 8,1:00 PM, Cleveland Browns, Pittsburgh Steelers
 Sun Jan 8,1:00 PM, Dallas Cowboys, Washington Commanders
