Team,Logo,Wikipedia page,Description,Location,n_injuries,City,State,Belong,FIPS,Date,Headquarters,People,Awards
Atlanta Falcons,//upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/100px-Atlanta_Falcons_logo.svg.png,http://en.wikipedia.org/wiki/Atlanta_Falcons,"The Atlanta Falcons are a professional American football team based in Atlanta, Georgia. They are a member of the South Division of the National Football Conference (NFC) in the National Football League (NFL).","Atlanta, Georgia",6,Atlanta, Georgia,NFC,13139,1966 - present,Atlanta,Michael Vick • Brett Favre • Deion Sanders • Tony Gonzalez,
Baltimore Ravens,//upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/100px-Baltimore_Ravens_logo.svg.png,http://en.wikipedia.org/wiki/Baltimore_Ravens,"The Baltimore Ravens are a professional American football team based in Baltimore, Maryland, playing in the North Division of the American Football Conference (AFC) in the National Football League (NFL). The team has played its home games at M&T Bank Stadium in downtown Baltimore since 1998, and is headquartered at the Under Armour Performance Center in Owings Mills.","Baltimore, Maryland",15,Baltimore, Maryland,AFC,24510,1996 - present,Baltimore,Deion Sanders • Ray Lewis • Steve McNair,Super Bowl (2013) • Super Bowl (2001) Super Bowl (2019) Super Bowl (2017) Super Bowl (2015) Super Bowl (2005) Super Bowl (2004) Super Bowl (2002)
New England Patriots,//upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,http://en.wikipedia.org/wiki/New_England_Patriots,"The New England Patriots are a professional American football team based in the Greater Boston area. The Patriots play their home games at Gillette Stadium in the town of Foxborough, Massachusetts. The team is part of the East Division of the American Football Conference (AFC) in the National Football League (NFL). An original member of the American Football League (AFL), the Patriots joined the NFL in the 1970 merger of the two leagues. The team changed its name from the original Boston Patriots after relocating to Foxborough in 1971, although Foxborough is a suburb 22 miles (35 km) away from downtown Boston .","Boston, Massachusetts",13,Boston, Massachusetts,AFC,25021,1960 - present,"Boston, Massachusetts",Tom Brady Bill Belichick Bill Parcells Randy Moss John Hannah,
Carolina Panthers,//upload.wikimedia.org/wikipedia/en/thumb/7/7a/Carolina_Panthers_logo_2012.svg/100px-Carolina_Panthers_logo_2012.svg.png,http://en.wikipedia.org/wiki/Carolina_Panthers,"The Carolina Panthers are a professional American football team based in Charlotte, North Carolina. They play in the South division of the National Football Conference (NFC), one of the two conferences in the National Football League (NFL). The team is worth approximately USD $1 billion, according to Forbes, and is controlled by Jerry Richardson and his family; they have a 48% stake. The remainder of the team is held by a group of 14 limited partners. The head coach is Ron Rivera, while the president is Danny Morrison .","Charlotte, North Carolina",8,Charlotte, North Carolina,NFC,37119,1995 - present,Charlotte,,Super Bowl (1985)
Chicago Bears,//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png,http://en.wikipedia.org/wiki/Chicago_Bears,"The Chicago Bears are a professional American football team based in Chicago, Illinois. They are members of the North Division of the National Football Conference (NFC) in the National Football League (NFL). The Bears have won nine NFL Championships (eight pre-merger, and one Super Bowl ). The Bears hold the NFL record for the most enshrinees in the Pro Football Hall of Fame, with 27 members, and the most retired jersey numbers (15). The Bears have also recorded more regular season and overall victories than any other NFL franchise. The franchise recorded its 700th win on November 18, 2010.","Chicago, Illinois",9,Chicago, Illinois,NFC,17097,1920 - present,Chicago,Mike Ditka Red Grange Walter Payton Alan Page Brian Urlacher,
Cincinnati Bengals,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Cincinnati_Bengals.svg/100px-Cincinnati_Bengals.svg.png,http://en.wikipedia.org/wiki/Cincinnati_Bengals,"The Cincinnati Bengals are a professional American football franchise based in Cincinnati, Ohio. They are currently members of the North division of the American Football Conference (AFC) of the National Football League (NFL). Their home stadium is Paul Brown Stadium in downtown Cincinnati. Their current head coach is Marvin Lewis. Their primary colors are orange and black. Their chief rivals are the Baltimore Ravens, Cleveland Browns and Pittsburgh Steelers .","Cincinnati, Ohio",22,Cincinnati, Ohio,AFC,39061,1968 - present,Cincinnati,Forrest Gregg Paul Brown Bill Walsh Anthony Muñoz,
Cleveland Browns,//upload.wikimedia.org/wikipedia/en/thumb/e/ee/Cleveland_Browns_logo%2C_2006_to_present.svg/100px-Cleveland_Browns_logo%2C_2006_to_present.svg.png,http://en.wikipedia.org/wiki/Cleveland_Browns,"The Cleveland Browns are a professional American football franchise based in Cleveland, Ohio. They are currently members of the North Division of the American Football Conference (AFC) of the National Football League (NFL). Their current home venue is FirstEnergy Stadium (called Cleveland Browns Stadium from its opening in 1999 to 2012). Their administrative offices and training facilities are located in Berea, Ohio. The Browns' official colors are burnt orange, seal brown, and white. They are unique among the 32 member franchises of the National Football League in that they do not have a helmet logo.","Cleveland, Ohio",22,Cleveland, Ohio,AFC,39035,1946 - present, Cleveland,Bill Belichick Forrest Gregg Nick Saban Paul Brown Jim Brown,
Denver Broncos,//upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,http://en.wikipedia.org/wiki/Denver_Broncos,"The Denver Broncos are a professional American football team based in Denver, Colorado. They are members of the West Division of the American Football Conference (AFC) in the National Football League (NFL). The Broncos began play in 1960 as a charter member of the American Football League (AFL) and joined the NFL as part of the merger in 1970. The Broncos are owned by the Pat Bowlen trust, and coached by John Fox. The Broncos have played at Sports Authority Field at Mile High since 2001, after previously playing at Mile High Stadium from 1960‚Äì2000.","Denver, Colorado",12,Denver, Colorado,AFC,08005,1960 - present,Denver,Peyton Manning Von Miller John Elway Tony Dorsett,Super Bowl (2016) Super Bowl (1999) Super Bowl (1998)
Detroit Lions,//upload.wikimedia.org/wikipedia/en/thumb/3/3f/New_Lions_Logo.svg/100px-New_Lions_Logo.svg.png,http://en.wikipedia.org/wiki/Detroit_Lions,"The Detroit Lions are a professional American football team based in Detroit, Michigan. They are members of the North Division of the National Football Conference (NFC) in the National Football League (NFL), and play their home games at Ford Field in Downtown Detroit .","Detroit, Michigan",13,Detroit, Michigan,NFC,26163,1930 - present,Detroit,Adrian Peterson Dick Lane Barry Sanders Byron R. White,
Arizona Cardinals,//upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/100px-Arizona_Cardinals_logo.svg.png,http://en.wikipedia.org/wiki/Arizona_Cardinals,"The Arizona Cardinals are a professional American football team based in Glendale, Arizona. They currently are members of the West division of the National Football Conference (NFC) in the National Football League (NFL). The Cardinals were founded in 1898, and are the oldest continuously run professional American football club in the United States.","Glendale, Arizona",10,Glendale, Arizona,NFC,04013,1898 - present,Phoenix,Adrian Peterson Kurt Warner Pat Tillman Joe Gibbs,
Green Bay Packers,//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,http://en.wikipedia.org/wiki/Green_Bay_Packers,"The Green Bay Packers are an American football team based in Green Bay, Wisconsin. They are members of the North Division of the National Football Conference (NFC) in the National Football League (NFL). Green Bay is the third-oldest franchise in the NFL, having been organized and playing in 1919. The Packers are the only non-profit, community-owned major league professional sports team in the United States.","Green Bay, Wisconsin",13,Green Bay, Wisconsin,NFC,55009,1919 - present,Green Bay,Forrest Gregg Paul Hornung Herb Adderley Brett Favre Aaron Rodgers,Super Bowl (2011) Super Bowl (1997) Super Bowl (1968) Super Bowl (1967)
